	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes	releaseDate	posterURL	releaseCountry
16	66921	movie	A Clockwork Orange	A Clockwork Orange	0	1971	\N	136	Crime,Drama,Sci-Fi	8.3	678532	1972-02-02	https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_SY150_CR0,0,101,150_.jpg	USA
17	68646	movie	The Godfather	The Godfather	0	1972	\N	175	Crime,Drama	9.2	1415342	1972-03-24	https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY150_CR2,0,101,150_.jpg	USA
18	70047	movie	The Exorcist	The Exorcist	0	1973	\N	122	Horror	8.0	327543	1973-12-26	https://m.media-amazon.com/images/M/MV5BYjhmMGMxZDYtMTkyNy00YWVmLTgyYmUtYTU3ZjcwNTBjN2I1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX101_CR0,0,101,150_.jpg	USA
19	71315	movie	Chinatown	Chinatown	0	1974	\N	130	Drama,Mystery,Thriller	8.2	262591	1974-06-20	https://m.media-amazon.com/images/M/MV5BOGMwYmY5ZmEtMzY1Yi00OWJiLTk1Y2MtMzI2MjBhYmZkNTQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX101_CR0,0,101,150_.jpg	USA
20	71562	movie	The Godfather: Part II	The Godfather: Part II	0	1974	\N	202	Crime,Drama	9.0	981863	1974-12-20	https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY150_CR2,0,101,150_.jpg	USA
21	71853	movie	Monty Python and the Holy Grail	Monty Python and the Holy Grail	0	1975	\N	91	Adventure,Comedy,Fantasy	8.3	454954	1975-06-27	https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX101_CR0,0,101,150_.jpg	Ireland
22	73195	movie	Jaws	Jaws	0	1975	\N	124	Adventure,Drama,Thriller	8.0	503419	1975-06-20	https://m.media-amazon.com/images/M/MV5BMmVmODY1MzEtYTMwZC00MzNhLWFkNDMtZjAwM2EwODUxZTA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX101_CR0,0,101,150_.jpg	USA
23	73486	movie	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	0	1975	\N	133	Drama	8.7	818692	1975-11-19	https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX101_CR0,0,101,150_.jpg	USA
24	75148	movie	Rocky	Rocky	0	1976	\N	120	Drama,Sport	8.1	465995	1976-12-03	https://m.media-amazon.com/images/M/MV5BMTY5MDMzODUyOF5BMl5BanBnXkFtZTcwMTQ3NTMyNA@@._V1_SX101_CR0,0,101,150_.jpg	USA
25	75314	movie	Taxi Driver	Taxi Driver	0	1976	\N	114	Crime,Drama	8.3	626257	1976-02-08	https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX101_CR0,0,101,150_.jpg	USA
